run	V(vref)
0.000000000000000e+00	4.987802e+00
1.000000000000000e+00	4.844051e+00
2.000000000000000e+00	4.982146e+00
3.000000000000000e+00	4.931005e+00
4.000000000000000e+00	5.087955e+00
5.000000000000000e+00	5.097881e+00
6.000000000000000e+00	4.912547e+00
7.000000000000000e+00	4.947894e+00
8.000000000000000e+00	4.930910e+00
9.000000000000000e+00	4.925941e+00
1.000000000000000e+01	5.084935e+00
1.100000000000000e+01	4.959784e+00
1.200000000000000e+01	4.989891e+00
1.300000000000000e+01	4.969083e+00
1.400000000000000e+01	4.808213e+00
1.500000000000000e+01	4.994873e+00
1.600000000000000e+01	5.112861e+00
1.700000000000000e+01	4.979727e+00
1.800000000000000e+01	5.016458e+00
1.900000000000000e+01	5.036625e+00
2.000000000000000e+01	5.053812e+00
2.100000000000000e+01	4.859501e+00
2.200000000000000e+01	4.948845e+00
2.300000000000000e+01	4.951467e+00
2.400000000000000e+01	4.991359e+00
2.500000000000000e+01	5.052004e+00
2.600000000000000e+01	5.097556e+00
2.700000000000000e+01	4.829162e+00
2.800000000000000e+01	4.878772e+00
2.900000000000000e+01	4.907040e+00
3.000000000000000e+01	5.093685e+00
3.100000000000000e+01	4.876687e+00
3.200000000000000e+01	5.123539e+00
3.300000000000000e+01	5.062903e+00
3.400000000000000e+01	5.082020e+00
3.500000000000000e+01	4.913546e+00
3.600000000000000e+01	4.826331e+00
3.700000000000000e+01	5.020268e+00
3.800000000000000e+01	5.022933e+00
3.900000000000000e+01	5.022702e+00
4.000000000000000e+01	5.155187e+00
4.100000000000000e+01	5.087953e+00
4.200000000000000e+01	4.999897e+00
4.300000000000000e+01	4.909904e+00
4.400000000000000e+01	4.966654e+00
4.500000000000000e+01	4.970150e+00
4.600000000000000e+01	5.032324e+00
4.700000000000000e+01	4.947112e+00
4.800000000000000e+01	4.943574e+00
4.900000000000000e+01	5.113095e+00
5.000000000000000e+01	4.973723e+00
5.100000000000000e+01	4.949288e+00
5.200000000000000e+01	5.001631e+00
5.300000000000000e+01	4.992396e+00
5.400000000000000e+01	4.865659e+00
5.500000000000000e+01	5.065434e+00
5.600000000000000e+01	5.029483e+00
5.700000000000000e+01	4.852131e+00
5.800000000000000e+01	4.871898e+00
5.900000000000000e+01	5.032220e+00
6.000000000000000e+01	5.128590e+00
6.100000000000000e+01	5.006360e+00
6.200000000000000e+01	4.859856e+00
6.300000000000000e+01	4.968026e+00
6.400000000000000e+01	4.989134e+00
6.500000000000000e+01	5.084178e+00
6.600000000000000e+01	5.038755e+00
6.700000000000000e+01	4.870905e+00
6.800000000000000e+01	4.956291e+00
6.900000000000000e+01	5.127188e+00
7.000000000000000e+01	4.967078e+00
7.100000000000000e+01	5.073888e+00
7.200000000000000e+01	5.023418e+00
7.300000000000000e+01	4.976481e+00
7.400000000000000e+01	4.981096e+00
7.500000000000000e+01	5.011420e+00
7.600000000000000e+01	4.985710e+00
7.700000000000000e+01	5.126211e+00
7.800000000000000e+01	5.002558e+00
7.900000000000000e+01	5.081940e+00
8.000000000000000e+01	4.951265e+00
8.100000000000000e+01	5.118305e+00
8.200000000000000e+01	4.941292e+00
8.300000000000000e+01	5.151252e+00
8.400000000000000e+01	5.110371e+00
8.500000000000000e+01	5.084639e+00
8.600000000000000e+01	4.993155e+00
8.700000000000000e+01	4.994780e+00
8.800000000000000e+01	5.037552e+00
8.900000000000000e+01	5.079175e+00
9.000000000000000e+01	5.151968e+00
9.100000000000000e+01	5.020513e+00
9.200000000000000e+01	5.073739e+00
9.300000000000000e+01	4.979306e+00
9.400000000000000e+01	4.923641e+00
9.500000000000000e+01	5.043977e+00
9.600000000000000e+01	4.895863e+00
9.700000000000000e+01	4.973791e+00
9.800000000000000e+01	4.882851e+00
9.900000000000000e+01	4.952987e+00
1.000000000000000e+02	4.975504e+00
1.010000000000000e+02	5.094342e+00
1.020000000000000e+02	4.941522e+00
1.030000000000000e+02	5.047383e+00
1.040000000000000e+02	5.000037e+00
1.050000000000000e+02	4.931985e+00
1.060000000000000e+02	4.926660e+00
1.070000000000000e+02	4.937720e+00
1.080000000000000e+02	4.941399e+00
1.090000000000000e+02	4.876721e+00
1.100000000000000e+02	4.991276e+00
1.110000000000000e+02	4.951313e+00
1.120000000000000e+02	4.811257e+00
1.130000000000000e+02	4.901910e+00
1.140000000000000e+02	5.005262e+00
1.150000000000000e+02	4.931015e+00
1.160000000000000e+02	4.904191e+00
1.170000000000000e+02	5.051742e+00
1.180000000000000e+02	5.081728e+00
1.190000000000000e+02	5.051610e+00
1.200000000000000e+02	4.989812e+00
1.210000000000000e+02	4.921038e+00
1.220000000000000e+02	4.906818e+00
1.230000000000000e+02	4.863572e+00
1.240000000000000e+02	5.123835e+00
1.250000000000000e+02	4.897103e+00
1.260000000000000e+02	4.963670e+00
1.270000000000000e+02	5.064389e+00
1.280000000000000e+02	4.888601e+00
1.290000000000000e+02	5.089937e+00
1.300000000000000e+02	5.073907e+00
1.310000000000000e+02	4.891794e+00
1.320000000000000e+02	4.975743e+00
1.330000000000000e+02	4.895591e+00
1.340000000000000e+02	5.078646e+00
1.350000000000000e+02	5.036479e+00
1.360000000000000e+02	5.022322e+00
1.370000000000000e+02	5.171395e+00
1.380000000000000e+02	4.969768e+00
1.390000000000000e+02	5.067470e+00
1.400000000000000e+02	5.038449e+00
1.410000000000000e+02	4.970446e+00
1.420000000000000e+02	5.071026e+00
1.430000000000000e+02	4.942260e+00
1.440000000000000e+02	5.279107e+00
1.450000000000000e+02	4.933386e+00
1.460000000000000e+02	4.956522e+00
1.470000000000000e+02	5.054629e+00
1.480000000000000e+02	5.056453e+00
1.490000000000000e+02	4.868106e+00
1.500000000000000e+02	5.018742e+00
1.510000000000000e+02	4.999319e+00
1.520000000000000e+02	5.006280e+00
1.530000000000000e+02	5.052508e+00
1.540000000000000e+02	5.063792e+00
1.550000000000000e+02	5.074812e+00
1.560000000000000e+02	4.893455e+00
1.570000000000000e+02	5.009176e+00
1.580000000000000e+02	5.130732e+00
1.590000000000000e+02	4.961824e+00
1.600000000000000e+02	4.957031e+00
1.610000000000000e+02	5.016486e+00
1.620000000000000e+02	5.185609e+00
1.630000000000000e+02	4.900190e+00
1.640000000000000e+02	5.010620e+00
1.650000000000000e+02	4.902060e+00
1.660000000000000e+02	5.093222e+00
1.670000000000000e+02	5.019393e+00
1.680000000000000e+02	4.967833e+00
1.690000000000000e+02	5.016148e+00
1.700000000000000e+02	4.995878e+00
1.710000000000000e+02	4.920925e+00
1.720000000000000e+02	4.789561e+00
1.730000000000000e+02	4.952698e+00
1.740000000000000e+02	4.998222e+00
1.750000000000000e+02	4.944288e+00
1.760000000000000e+02	4.874660e+00
1.770000000000000e+02	5.004913e+00
1.780000000000000e+02	5.072605e+00
1.790000000000000e+02	4.999338e+00
1.800000000000000e+02	4.995645e+00
1.810000000000000e+02	4.942684e+00
1.820000000000000e+02	4.949114e+00
1.830000000000000e+02	4.968542e+00
1.840000000000000e+02	4.877127e+00
1.850000000000000e+02	5.082526e+00
1.860000000000000e+02	5.022295e+00
1.870000000000000e+02	4.950686e+00
1.880000000000000e+02	5.078213e+00
1.890000000000000e+02	5.086732e+00
1.900000000000000e+02	4.972888e+00
1.910000000000000e+02	5.035135e+00
1.920000000000000e+02	5.015045e+00
1.930000000000000e+02	4.884383e+00
1.940000000000000e+02	4.909654e+00
1.950000000000000e+02	5.078931e+00
1.960000000000000e+02	5.039367e+00
1.970000000000000e+02	5.050312e+00
1.980000000000000e+02	4.954388e+00
1.990000000000000e+02	5.032139e+00
2.000000000000000e+02	4.956031e+00
2.010000000000000e+02	5.101183e+00
2.020000000000000e+02	4.970561e+00
2.030000000000000e+02	4.978987e+00
2.040000000000000e+02	5.105610e+00
2.050000000000000e+02	5.023296e+00
2.060000000000000e+02	4.987968e+00
2.070000000000000e+02	4.968388e+00
2.080000000000000e+02	5.120140e+00
2.090000000000000e+02	5.011511e+00
2.100000000000000e+02	4.983715e+00
2.110000000000000e+02	4.939631e+00
2.120000000000000e+02	5.040333e+00
2.130000000000000e+02	5.112116e+00
