run	V(vref)
0.000000000000000e+00	4.817739e+00
1.000000000000000e+00	5.167504e+00
2.000000000000000e+00	5.234434e+00
3.000000000000000e+00	4.860517e+00
4.000000000000000e+00	4.904084e+00
5.000000000000000e+00	5.023610e+00
6.000000000000000e+00	4.844191e+00
7.000000000000000e+00	5.246441e+00
8.000000000000000e+00	5.248230e+00
9.000000000000000e+00	5.233848e+00
1.000000000000000e+01	5.112919e+00
1.100000000000000e+01	5.240555e+00
1.200000000000000e+01	4.804931e+00
1.300000000000000e+01	5.149053e+00
1.400000000000000e+01	4.898515e+00
1.500000000000000e+01	4.752392e+00
1.600000000000000e+01	4.806232e+00
1.700000000000000e+01	5.069882e+00
1.800000000000000e+01	5.189215e+00
1.900000000000000e+01	5.001832e+00
2.000000000000000e+01	5.148964e+00
2.100000000000000e+01	4.930647e+00
2.200000000000000e+01	4.855962e+00
2.300000000000000e+01	5.090680e+00
2.400000000000000e+01	4.949369e+00
2.500000000000000e+01	5.120324e+00
2.600000000000000e+01	4.987380e+00
2.700000000000000e+01	4.961044e+00
2.800000000000000e+01	4.836933e+00
2.900000000000000e+01	4.900957e+00
3.000000000000000e+01	5.148640e+00
3.100000000000000e+01	4.908275e+00
3.200000000000000e+01	5.186214e+00
3.300000000000000e+01	4.824557e+00
3.400000000000000e+01	5.247034e+00
3.500000000000000e+01	5.160952e+00
3.600000000000000e+01	4.812592e+00
3.700000000000000e+01	5.131875e+00
3.800000000000000e+01	4.995295e+00
3.900000000000000e+01	5.081803e+00
4.000000000000000e+01	4.812948e+00
4.100000000000000e+01	4.855104e+00
4.200000000000000e+01	4.775608e+00
4.300000000000000e+01	4.768220e+00
4.400000000000000e+01	4.954366e+00
4.500000000000000e+01	4.978994e+00
4.600000000000000e+01	4.993784e+00
4.700000000000000e+01	5.146987e+00
4.800000000000000e+01	5.210437e+00
4.900000000000000e+01	5.153766e+00
5.000000000000000e+01	5.102887e+00
5.100000000000000e+01	4.751409e+00
5.200000000000000e+01	5.105352e+00
5.300000000000000e+01	5.071980e+00
5.400000000000000e+01	4.978016e+00
5.500000000000000e+01	5.136959e+00
5.600000000000000e+01	5.036877e+00
5.700000000000000e+01	5.188379e+00
5.800000000000000e+01	5.154088e+00
5.900000000000000e+01	4.758887e+00
6.000000000000000e+01	5.160623e+00
6.100000000000000e+01	5.160420e+00
6.200000000000000e+01	5.220037e+00
6.300000000000000e+01	4.956333e+00
6.400000000000000e+01	4.961583e+00
6.500000000000000e+01	5.040478e+00
6.600000000000000e+01	4.829029e+00
6.700000000000000e+01	5.130866e+00
6.800000000000000e+01	4.865078e+00
6.900000000000000e+01	5.154867e+00
7.000000000000000e+01	5.244261e+00
7.100000000000000e+01	4.916224e+00
7.200000000000000e+01	4.899916e+00
7.300000000000000e+01	4.756770e+00
7.400000000000000e+01	4.858619e+00
7.500000000000000e+01	5.203682e+00
7.600000000000000e+01	5.174234e+00
7.700000000000000e+01	5.227509e+00
7.800000000000000e+01	5.139449e+00
7.900000000000000e+01	5.243730e+00
8.000000000000000e+01	4.783798e+00
8.100000000000000e+01	5.146799e+00
8.200000000000000e+01	5.047252e+00
8.300000000000000e+01	5.116399e+00
8.400000000000000e+01	5.097617e+00
8.500000000000000e+01	5.089910e+00
8.600000000000000e+01	4.946160e+00
8.700000000000000e+01	5.030779e+00
8.800000000000000e+01	4.854034e+00
8.900000000000000e+01	5.013686e+00
9.000000000000000e+01	4.952104e+00
9.100000000000000e+01	4.926381e+00
9.200000000000000e+01	5.046412e+00
9.300000000000000e+01	4.928173e+00
9.400000000000000e+01	5.232483e+00
9.500000000000000e+01	4.827219e+00
9.600000000000000e+01	4.947454e+00
9.700000000000000e+01	4.943648e+00
9.800000000000000e+01	5.113477e+00
9.900000000000000e+01	4.944285e+00
1.000000000000000e+02	5.213747e+00
1.010000000000000e+02	4.968059e+00
1.020000000000000e+02	5.181339e+00
1.030000000000000e+02	5.060180e+00
1.040000000000000e+02	4.809773e+00
1.050000000000000e+02	4.985979e+00
1.060000000000000e+02	4.920110e+00
1.070000000000000e+02	5.014921e+00
1.080000000000000e+02	5.108050e+00
1.090000000000000e+02	5.244190e+00
1.100000000000000e+02	5.110247e+00
1.110000000000000e+02	5.206289e+00
1.120000000000000e+02	5.002749e+00
1.130000000000000e+02	5.029134e+00
1.140000000000000e+02	5.001595e+00
1.150000000000000e+02	4.981237e+00
1.160000000000000e+02	5.023296e+00
1.170000000000000e+02	4.973792e+00
1.180000000000000e+02	5.177226e+00
1.190000000000000e+02	5.052116e+00
1.200000000000000e+02	4.999272e+00
1.210000000000000e+02	5.239963e+00
1.220000000000000e+02	4.767159e+00
1.230000000000000e+02	5.238501e+00
1.240000000000000e+02	4.931593e+00
1.250000000000000e+02	5.089760e+00
1.260000000000000e+02	4.923117e+00
1.270000000000000e+02	5.177938e+00
1.280000000000000e+02	4.772530e+00
1.290000000000000e+02	5.080060e+00
1.300000000000000e+02	5.124970e+00
1.310000000000000e+02	4.816498e+00
1.320000000000000e+02	5.241180e+00
1.330000000000000e+02	4.797678e+00
1.340000000000000e+02	4.891336e+00
1.350000000000000e+02	5.151056e+00
1.360000000000000e+02	4.788778e+00
1.370000000000000e+02	5.063692e+00
1.380000000000000e+02	4.754047e+00
1.390000000000000e+02	5.090144e+00
1.400000000000000e+02	5.016966e+00
1.410000000000000e+02	4.969334e+00
1.420000000000000e+02	4.849776e+00
1.430000000000000e+02	4.819001e+00
1.440000000000000e+02	4.941166e+00
1.450000000000000e+02	5.131211e+00
1.460000000000000e+02	4.770236e+00
1.470000000000000e+02	4.876478e+00
1.480000000000000e+02	5.002386e+00
1.490000000000000e+02	5.161303e+00
1.500000000000000e+02	5.240861e+00
1.510000000000000e+02	5.161728e+00
1.520000000000000e+02	4.900914e+00
1.530000000000000e+02	4.773972e+00
1.540000000000000e+02	4.873924e+00
1.550000000000000e+02	5.022028e+00
1.560000000000000e+02	5.193863e+00
1.570000000000000e+02	4.921920e+00
1.580000000000000e+02	4.766634e+00
1.590000000000000e+02	4.831436e+00
1.600000000000000e+02	5.188682e+00
1.610000000000000e+02	4.855151e+00
1.620000000000000e+02	4.886376e+00
1.630000000000000e+02	4.996221e+00
1.640000000000000e+02	4.861710e+00
1.650000000000000e+02	4.995151e+00
1.660000000000000e+02	5.227472e+00
1.670000000000000e+02	5.075984e+00
1.680000000000000e+02	5.128752e+00
1.690000000000000e+02	4.967623e+00
1.700000000000000e+02	5.026441e+00
1.710000000000000e+02	4.776577e+00
1.720000000000000e+02	4.911255e+00
1.730000000000000e+02	4.952491e+00
1.740000000000000e+02	5.204217e+00
1.750000000000000e+02	5.154569e+00
1.760000000000000e+02	4.879148e+00
1.770000000000000e+02	4.814923e+00
1.780000000000000e+02	4.996664e+00
1.790000000000000e+02	4.939250e+00
1.800000000000000e+02	5.109235e+00
1.810000000000000e+02	4.893902e+00
1.820000000000000e+02	5.061718e+00
1.830000000000000e+02	5.155937e+00
1.840000000000000e+02	4.906254e+00
1.850000000000000e+02	4.942855e+00
1.860000000000000e+02	4.921965e+00
1.870000000000000e+02	5.157885e+00
1.880000000000000e+02	5.084642e+00
1.890000000000000e+02	4.939709e+00
1.900000000000000e+02	4.979249e+00
1.910000000000000e+02	4.901807e+00
1.920000000000000e+02	5.205283e+00
1.930000000000000e+02	4.994309e+00
1.940000000000000e+02	5.127895e+00
1.950000000000000e+02	4.804031e+00
1.960000000000000e+02	4.946795e+00
1.970000000000000e+02	5.185093e+00
1.980000000000000e+02	4.930430e+00
1.990000000000000e+02	5.208559e+00
2.000000000000000e+02	5.021903e+00
2.010000000000000e+02	4.820072e+00
2.020000000000000e+02	4.849936e+00
2.030000000000000e+02	5.224463e+00
2.040000000000000e+02	5.245055e+00
